ARTICULO;INCLUYE;DIM;POTENCIA;T_COLOR;ANGULO;FLUJO;CRI;IP;COLOR;DIMENCIONES;CUT_OUT;CATEGORIA;PRECIO;FAMILIA;ESTADO;INGRESO_APROXIMADO;DESCRIPCION;IMGPRODUCTOS ;PRODUCTOACTUALIZACION;MARCO;CANTIDAD
06.71.1101.03;LE;NULL;3,2W;2700K;27;308;80;20;blanco tex.;60x44mm;53mm;1;1741;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1101.06;LE;NULL;3,2W;2700K;27;308;80;20;negro tex.;60x44mm;53mm;1;1931;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1150.03;LE;NULL;3,2W;3000K;27;308;80;20;blanco tex.;60x44mm;53mm;1;1741;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1150.06;LE;NULL;3,2W;3000K;27;308;80;20;negro tex.;60x44mm;53mm;1;1931;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1105.03;LE;NULL;3,2W;2700K;39;333;80;20;blanco tex.;60x44mm;53mm;1;1741;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1105.06;LE;NULL;3,2W;2700K;39;333;80;20;negro tex.;60x44mm;53mm;1;1931;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1154.03;LE;NULL;3,2W;3000K;39;333;80;20;blanco tex.;60x44mm;53mm;1;1741;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1154.06;LE;NULL;3,2W;3000K;39;333;80;20;negro tex.;60x44mm;53mm;1;1931;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1111.03;LE;NULL;3,2W;2700K;50;301;80;20;blanco tex.;60x44mm;53mm;1;1741;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1111.06;LE;NULL;3,2W;2700K;50;301;80;20;negro tex.;60x44mm;53mm;1;1931;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1160.03;LE;NULL;3,2W;3000K;50;301;80;20;blanco tex.;60x44mm;53mm;1;1741;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1160.06;LE;NULL;3,2W;3000K;50;301;80;20;negro tex.;60x44mm;53mm;1;1931;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1113.03;LE;NULL;7W;2700K;28;505;80;20;blanco tex.;60x72mm;53mm;1;2371;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1113.06;LE;NULL;7W;2700K;28;505;80;20;negro tex.;60x72mm;53mm;1;2561;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1112.03;LE;NULL;7W;3000K;28;505;80;20;blanco tex.;60x72mm;53mm;1;2371;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1112.06;LE;NULL;7W;3000K;28;505;80;20;negro tex.;60x72mm;53mm;1;2561;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1115.03;LE;NULL;7W;2700K;39;547;80;20;blanco tex.;60x72mm;53mm;1;2371;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1115.06;LE;NULL;7W;2700K;39;547;80;20;negro tex.;60x72mm;53mm;1;2561;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1166.03;LE;NULL;7W;3000K;39;547;80;20;blanco tex.;60x72mm;53mm;1;2371;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1166.06;LE;NULL;7W;3000K;39;547;80;20;negro tex.;60x72mm;53mm;1;2561;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1106.03;LE;NULL;7W;2700K;50;496;80;20;blanco tex.;60x72mm;53mm;1;2371;FEDRO;1;NULL;NULL;NULL;NULL;0;100
06.71.1106.06;LE;NULL;7W;2700K;50;496;80;20;negro tex.;60x72mm;53mm;1;2561;FEDRO;1;A pedido;NULL;NULL;NULL;0;100
06.71.1107.03;LE;NULL;7W;3000K;50;496;80;20;blanco tex.;60x72mm;53mm;1;2371;FEDRO;1;NULL;NULL;NULL;NULL;0;100
